t,__msgtype__,altitude,beams.0.__msgtype__,beams.0.distance,beams.0.id,beams.0.nsd,beams.0.rssi,beams.0.valid,beams.0.velocity,beams.1.__msgtype__,beams.1.distance,beams.1.id,beams.1.nsd,beams.1.rssi,beams.1.valid,beams.1.velocity,beams.2.__msgtype__,beams.2.distance,beams.2.id,beams.2.nsd,beams.2.rssi,beams.2.valid,beams.2.velocity,beams.3.__msgtype__,beams.3.distance,beams.3.id,beams.3.nsd,beams.3.rssi,beams.3.valid,beams.3.velocity,fom,form,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,status,time,velocity.__msgtype__,velocity.x,velocity.y,velocity.z,velocity_valid
1724164556.61457,sensors/msg/DVLVelocity,1.3967803716659546,sensors/msg/DVLBeam,1.5812000036239624,0,-92.40965270996094,-60.526580810546875,True,-0.07850370556116104,sensors/msg/DVLBeam,1.3452000617980957,1,-94.41099548339844,-47.11144256591797,True,-0.05260001868009567,sensors/msg/DVLBeam,1.4278000593185425,2,-91.38467407226562,-51.61471176147461,True,0.050559282302856445,sensors/msg/DVLBeam,1.7582000494003296,3,-92.2704086303711,-54.663291931152344,True,0.04232542961835861,0.05409114062786102,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,613408327,1724164556,0,107.95164489746094,geometry_msgs/msg/Vector3,0.22080452740192413,-0.027198102325201035,-0.011050085537135601,True
1724164556.7235212,sensors/msg/DVLVelocity,1.394054889678955,sensors/msg/DVLBeam,1.6048001050949097,0,-94.230224609375,-56.27954864501953,True,-0.07325413823127747,sensors/msg/DVLBeam,1.3688000440597534,1,-94.97535705566406,-48.76637268066406,True,-0.05492735281586647,sensors/msg/DVLBeam,1.4042000770568848,2,-91.74574279785156,-51.66747283935547,True,0.0655171126127243,sensors/msg/DVLBeam,1.7228000164031982,3,-93.87626647949219,-51.231529235839844,True,0.056663498282432556,0.05768832191824913,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,723115682,1724164556,0,107.7482681274414,geometry_msgs/msg/Vector3,0.23382972180843353,-0.0212467722594738,-0.002915110206231475,True
1724164556.8517997,sensors/msg/DVLVelocity,1.394054889678955,sensors/msg/DVLBeam,1.593000054359436,0,-92.18778228759766,-57.138267517089844,True,-0.051857564598321915,sensors/msg/DVLBeam,1.3569999933242798,1,-94.53611755371094,-47.29290771484375,True,-0.0384090356528759,sensors/msg/DVLBeam,1.4278000593185425,2,-90.98505401611328,-50.30760955810547,True,0.08640970289707184,sensors/msg/DVLBeam,1.7228000164031982,3,-91.89828491210938,-57.680137634277344,True,0.0786520391702652,0.05782456696033478,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,850776433,1724164556,0,112.1206283569336,geometry_msgs/msg/Vector3,0.23320135474205017,-0.017709799110889435,0.02118050679564476,True
1724164556.9287896,sensors/msg/DVLVelocity,1.3967803716659546,sensors/msg/DVLBeam,1.6166000366210938,0,-91.83781433105469,-54.00361633300781,True,-0.03350129351019859,sensors/msg/DVLBeam,1.3569999933242798,1,-94.96995544433594,-51.868370056152344,True,-0.020083043724298477,sensors/msg/DVLBeam,1.4278000593185425,2,-91.54401397705078,-49.946571350097656,True,0.101067453622818,sensors/msg/DVLBeam,1.7110000848770142,3,-91.1561050415039,-59.90504837036133,True,0.09316094219684601,0.057593997567892075,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,928379535,1724164556,0,108.12521362304688,geometry_msgs/msg/Vector3,0.23283231258392334,-0.018675323575735092,0.03702956810593605,True
1724164557.0506423,sensors/msg/DVLVelocity,1.394054889678955,sensors/msg/DVLBeam,1.6166000366210938,0,-92.18476867675781,-56.918304443359375,True,-0.024682745337486267,sensors/msg/DVLBeam,1.3569999933242798,1,-93.54309844970703,-53.22461700439453,True,-0.01574939861893654,sensors/msg/DVLBeam,1.4160000085830688,2,-90.645263671875,-50.5408935546875,True,0.10094290971755981,sensors/msg/DVLBeam,1.7110000848770142,3,-92.4106674194336,-56.630462646484375,True,0.10906126350164413,0.0575246661901474,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,49601316,1724164557,0,107.2742919921875,geometry_msgs/msg/Vector3,0.22813498973846436,0.003936242777854204,0.04682297259569168,True
1724164557.1507814,sensors/msg/DVLVelocity,1.385878562927246,sensors/msg/DVLBeam,1.6166000366210938,0,-93.16207885742188,-60.24116516113281,True,-0.010896065272390842,sensors/msg/DVLBeam,1.3452000617980957,1,-94.13639068603516,-50.19194030761719,True,-0.01192978024482727,sensors/msg/DVLBeam,1.4042000770568848,2,-91.36993408203125,-48.74077606201172,True,0.09593543410301208,sensors/msg/DVLBeam,1.6992000341415405,3,-93.4085922241211,-62.46238708496094,True,0.10985573381185532,0.055202074348926544,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,150293588,1724164557,0,109.5182876586914,geometry_msgs/msg/Vector3,0.21731306612491608,0.006286175921559334,0.0511794351041317,True
1724164557.2492187,sensors/msg/DVLVelocity,1.394054889678955,sensors/msg/DVLBeam,1.6284000873565674,0,-92.10969543457031,-57.074615478515625,True,-0.015139409340918064,sensors/msg/DVLBeam,1.3452000617980957,1,-94.17754364013672,-52.095603942871094,True,-0.019680768251419067,sensors/msg/DVLBeam,1.4042000770568848,2,-91.38540649414062,-50.18751525878906,True,0.10866238921880722,sensors/msg/DVLBeam,1.7228000164031982,3,-93.27645874023438,-52.00031661987305,True,0.10375644266605377,0.05737970396876335,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,248417139,1724164557,0,106.06527709960938,geometry_msgs/msg/Vector3,0.23033452033996582,0.0026972272899001837,0.04874968156218529,True
1724164557.3554387,sensors/msg/DVLVelocity,1.3804277181625366,sensors/msg/DVLBeam,1.6402000188827515,0,-91.48487091064453,-61.73903274536133,True,-0.018839804455637932,sensors/msg/DVLBeam,1.333400011062622,1,-94.21138000488281,-60.670631408691406,True,-0.031193753704428673,sensors/msg/DVLBeam,1.380600094795227,2,-91.40294647216797,-57.166282653808594,True,0.09047975391149521,sensors/msg/DVLBeam,1.6874001026153564,3,-91.19452667236328,-56.727989196777344,True,0.09182129055261612,0.054710038006305695,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,354097127,1724164557,0,106.84585571289062,geometry_msgs/msg/Vector3,0.2201615422964096,0.013824833557009697,0.03601274639368057,True
1724164557.479372,sensors/msg/DVLVelocity,1.385878562927246,sensors/msg/DVLBeam,1.6166000366210938,0,-91.07568359375,-60.126407623291016,True,-0.024048486724495888,sensors/msg/DVLBeam,1.3452000617980957,1,-92.56023406982422,-55.392311096191406,True,-0.04242756962776184,sensors/msg/DVLBeam,1.4042000770568848,2,-90.32402801513672,-49.23170471191406,True,0.07798711955547333,sensors/msg/DVLBeam,1.6992000341415405,3,-90.8693618774414,-53.285247802734375,True,0.08089224994182587,0.04890317842364311,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,478763818,1724164557,0,106.96339416503906,geometry_msgs/msg/Vector3,0.20004747807979584,0.006298361346125603,0.028047828003764153,True
1724164557.579186,sensors/msg/DVLVelocity,1.3804277181625366,sensors/msg/DVLBeam,1.6284000873565674,0,-93.48880767822266,-55.93302917480469,True,-0.02652376890182495,sensors/msg/DVLBeam,1.333400011062622,1,-93.69198608398438,-56.15571212768555,True,-0.04617629572749138,sensors/msg/DVLBeam,1.4160000085830688,2,-91.3619155883789,-41.39308547973633,True,0.06727240979671478,sensors/msg/DVLBeam,1.6638001203536987,3,-93.59396362304688,-61.91738510131836,True,0.06916885077953339,0.0489351786673069,json_v3.1,std_msgs/msg/Header,dvl_link,builtin_interfaces/msg/Time,577766418,1724164557,0,106.01043701171875,geometry_msgs/msg/Vector3,0.19827482104301453,0.010445641353726387,0.016119977459311485,True
