t,__msgtype__,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,mag_x,mag_y,mag_z
1724164485.1914454,messages/msg/IMU,25.0,29.0,-985.0,-87.0,-71.0,-136.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,190504789,1724164485,0.0,0.0,0.0
1724164485.2372656,messages/msg/IMU,5.0,49.0,-996.0,-75.0,-84.0,-128.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,236382961,1724164485,0.0,0.0,0.0
1724164485.356288,messages/msg/IMU,-6.0,45.0,-995.0,-51.0,-96.0,-111.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,355066061,1724164485,0.0,0.0,0.0
1724164485.4168494,messages/msg/IMU,-19.0,61.0,-992.0,-40.0,-86.0,-82.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,415652513,1724164485,0.0,0.0,0.0
1724164485.4877489,messages/msg/IMU,-19.0,61.0,-992.0,-40.0,-86.0,-82.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,486974000,1724164485,0.0,0.0,0.0
1724164485.5458255,messages/msg/IMU,-30.0,65.0,-990.0,-19.0,-79.0,-65.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,544819116,1724164485,0.0,0.0,0.0
1724164485.6144736,messages/msg/IMU,-39.0,48.0,-990.0,0.0,-67.0,-50.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,613634824,1724164485,0.0,0.0,0.0
1724164485.6884303,messages/msg/IMU,-39.0,48.0,-990.0,0.0,-67.0,-50.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,687540054,1724164485,0.0,0.0,0.0
1724164485.7359912,messages/msg/IMU,-42.0,67.0,-996.0,34.0,-54.0,-18.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,735411882,1724164485,0.0,0.0,0.0
1724164485.8120115,messages/msg/IMU,-45.0,52.0,-984.0,37.0,-23.0,-13.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,811809778,1724164485,0.0,0.0,0.0
1724164485.8628654,messages/msg/IMU,-45.0,52.0,-984.0,37.0,-23.0,-13.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,861675500,1724164485,0.0,0.0,0.0
1724164485.9229705,messages/msg/IMU,-43.0,48.0,-995.0,18.0,-6.0,29.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,921967506,1724164485,0.0,0.0,0.0
1724164485.984696,messages/msg/IMU,-43.0,48.0,-995.0,18.0,-6.0,29.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,983762025,1724164485,0.0,0.0,0.0
1724164486.0443237,messages/msg/IMU,-29.0,45.0,-985.0,5.0,16.0,46.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,43601512,1724164486,0.0,0.0,0.0
1724164486.1196275,messages/msg/IMU,-30.0,40.0,-988.0,2.0,32.0,73.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,118406295,1724164486,0.0,0.0,0.0
1724164486.1786513,messages/msg/IMU,-30.0,40.0,-988.0,2.0,32.0,73.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,177828550,1724164486,0.0,0.0,0.0
1724164486.2448559,messages/msg/IMU,-15.0,47.0,-994.0,8.0,49.0,96.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,243676662,1724164486,0.0,0.0,0.0
1724164486.3159845,messages/msg/IMU,-11.0,41.0,-991.0,-8.0,57.0,120.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,314460754,1724164486,0.0,0.0,0.0
1724164486.3632534,messages/msg/IMU,-11.0,41.0,-991.0,-8.0,57.0,120.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,362370252,1724164486,0.0,0.0,0.0
1724164486.424506,messages/msg/IMU,-6.0,61.0,-985.0,-26.0,50.0,110.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,423712015,1724164486,0.0,0.0,0.0
1724164486.4692519,messages/msg/IMU,-6.0,61.0,-985.0,-26.0,50.0,110.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,468628883,1724164486,0.0,0.0,0.0
1724164486.5319157,messages/msg/IMU,13.0,36.0,-979.0,-19.0,35.0,84.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,531455755,1724164486,0.0,0.0,0.0
1724164486.5819764,messages/msg/IMU,13.0,36.0,-979.0,-19.0,35.0,84.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,581321954,1724164486,0.0,0.0,0.0
1724164486.6297662,messages/msg/IMU,6.0,63.0,-993.0,-15.0,39.0,100.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,629194974,1724164486,0.0,0.0,0.0
1724164486.6789255,messages/msg/IMU,6.0,63.0,-993.0,-15.0,39.0,100.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,678063154,1724164486,0.0,0.0,0.0
1724164486.728601,messages/msg/IMU,20.0,48.0,-996.0,-23.0,41.0,91.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,727929592,1724164486,0.0,0.0,0.0
1724164486.7848105,messages/msg/IMU,20.0,48.0,-996.0,-23.0,41.0,91.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,784337520,1724164486,0.0,0.0,0.0
1724164486.8382366,messages/msg/IMU,7.0,52.0,-990.0,-39.0,44.0,72.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,837215185,1724164486,0.0,0.0,0.0
1724164486.9033318,messages/msg/IMU,7.0,52.0,-990.0,-39.0,44.0,72.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,901982069,1724164486,0.0,0.0,0.0
1724164486.9560535,messages/msg/IMU,15.0,55.0,-992.0,-46.0,34.0,41.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,954874992,1724164486,0.0,0.0,0.0
1724164487.0185654,messages/msg/IMU,19.0,53.0,-991.0,-35.0,18.0,22.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,17672300,1724164487,0.0,0.0,0.0
1724164487.0883029,messages/msg/IMU,19.0,53.0,-991.0,-35.0,18.0,22.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,87486267,1724164487,0.0,0.0,0.0
1724164487.1559837,messages/msg/IMU,24.0,56.0,-971.0,-3.0,8.0,-44.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,155303716,1724164487,0.0,0.0,0.0
1724164487.2222598,messages/msg/IMU,17.0,58.0,-989.0,30.0,-2.0,-85.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,221128225,1724164487,0.0,0.0,0.0
1724164487.2681246,messages/msg/IMU,17.0,58.0,-989.0,30.0,-2.0,-85.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,267004966,1724164487,0.0,0.0,0.0
1724164487.3469515,messages/msg/IMU,0.0,62.0,-988.0,37.0,-30.0,-93.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,345829010,1724164487,0.0,0.0,0.0
1724164487.4052126,messages/msg/IMU,0.0,62.0,-988.0,37.0,-30.0,-93.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,403639793,1724164487,0.0,0.0,0.0
1724164487.457057,messages/msg/IMU,-2.0,47.0,-996.0,25.0,-56.0,-73.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,456497907,1724164487,0.0,0.0,0.0
1724164487.510938,messages/msg/IMU,-28.0,46.0,-1000.0,25.0,-57.0,-88.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,510353326,1724164487,0.0,0.0,0.0
1724164487.5701787,messages/msg/IMU,-28.0,46.0,-1000.0,25.0,-57.0,-88.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,569196939,1724164487,0.0,0.0,0.0
1724164487.626875,messages/msg/IMU,-38.0,42.0,-977.0,36.0,-64.0,-87.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,626044511,1724164487,0.0,0.0,0.0
1724164487.6755962,messages/msg/IMU,-38.0,42.0,-977.0,36.0,-64.0,-87.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,674913883,1724164487,0.0,0.0,0.0
1724164487.733625,messages/msg/IMU,-38.0,54.0,-990.0,47.0,-80.0,-107.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,732542753,1724164487,0.0,0.0,0.0
1724164487.777828,messages/msg/IMU,-38.0,54.0,-990.0,47.0,-80.0,-107.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,777419805,1724164487,0.0,0.0,0.0
1724164487.8376474,messages/msg/IMU,-47.0,64.0,-985.0,51.0,-79.0,-97.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,837268114,1724164487,0.0,0.0,0.0
1724164487.8896914,messages/msg/IMU,-47.0,64.0,-985.0,51.0,-79.0,-97.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,888636589,1724164487,0.0,0.0,0.0
1724164487.9452024,messages/msg/IMU,-40.0,58.0,-993.0,57.0,-63.0,-71.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,944504976,1724164487,0.0,0.0,0.0
